Name,Execution Order,Suite Order,Run Phase,Suite,Case ID,Area,Test,Expected Result,Platform,Priority,Status,Required Data Set,Estimated Minutes,Owner,Evidence,Actual Result,Severity,Bug Link,Notes
"001 - WSU-001","1","1","Phase 2 - WS-018 Desktop","WS-018","WSU-001","A) Workspace Setup","Create workspace card is understandable and complete in EN.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"002 - WSU-002","2","2","Phase 2 - WS-018 Desktop","WS-018","WSU-002","A) Workspace Setup","Create workspace card is understandable and complete in IT.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"003 - WSU-003","3","3","Phase 2 - WS-018 Desktop","WS-018","WSU-003","A) Workspace Setup","Field validation messages are visible and actionable.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"004 - WSU-004","4","4","Phase 2 - WS-018 Desktop","WS-018","WSU-004","A) Workspace Setup","Step navigation (`Back`/`Next`) is predictable and non-blocking when valid.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"005 - WSU-005","5","5","Phase 2 - WS-018 Desktop","WS-018","WSU-005","A) Workspace Setup","Auto-save/draft resume behavior is visible and understandable.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"006 - WSU-006","6","6","Phase 2 - WS-018 Desktop","WS-018","WSU-006","B) Workspace Settings","Secondary tabs (`General`, `Business activities`, `Members`, `AI library`) are discoverable and clearly named.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"007 - WSU-007","7","7","Phase 2 - WS-018 Desktop","WS-018","WSU-007","B) Workspace Settings","`General` tab supports rename/image/update with clear feedback.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"008 - WSU-008","8","8","Phase 2 - WS-018 Desktop","WS-018","WSU-008","B) Workspace Settings","`General` delete-workspace flow communicates risk and confirmation correctly.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"009 - WSU-009","9","9","Phase 2 - WS-018 Desktop","WS-018","WSU-009","B) Workspace Settings","`Business activities` forms are scannable and AI assist actions are clear.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"010 - WSU-010","10","10","Phase 2 - WS-018 Desktop","WS-018","WSU-010","B) Workspace Settings","`Members` list + invite statuses (`pending/accepted/declined/expired/revoked`) are easy to read.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"011 - WSU-011","11","11","Phase 2 - WS-018 Desktop","WS-018","WSU-011","B) Workspace Settings","Invite actions (`resend`, `revoke`) are discoverable and confirmed by feedback.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"012 - WSU-012","12","12","Phase 2 - WS-018 Desktop","WS-018","WSU-012","B) Workspace Settings","`AI library` document/knowledge tabs are understandable with useful empty states.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"013 - WSU-013","13","13","Phase 2 - WS-018 Desktop","WS-018","WSU-013","C) Manage Workspace Navigation","Left sidebar information architecture is understandable (`Business Plan`, `Canvas Models`, `Pitch Deck`, `Finance`).","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"014 - WSU-014","14","14","Phase 2 - WS-018 Desktop","WS-018","WSU-014","C) Manage Workspace Navigation","Top-level manage tabs (`Plan`, `Download`) are clear and consistent.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"015 - WSU-015","15","15","Phase 2 - WS-018 Desktop","WS-018","WSU-015","C) Manage Workspace Navigation","Active page/tab states are visually obvious.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"016 - WSU-016","16","16","Phase 2 - WS-018 Desktop","WS-018","WSU-016","D) Business Plan Usability","`Plan Chapters` and `Plan Tasks` can be used without ambiguity.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"017 - WSU-017","17","17","Phase 2 - WS-018 Desktop","WS-018","WSU-017","D) Business Plan Usability","Task statuses (`todo/in_progress/done`) are easy to interpret.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"018 - WSU-018","18","18","Phase 2 - WS-018 Desktop","WS-018","WSU-018","D) Business Plan Usability","`Ask AI to Draft` affordance is understandable and gives visible outcome.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"019 - WSU-019","19","19","Phase 2 - WS-018 Desktop","WS-018","WSU-019","D) Business Plan Usability","AI chat pending-change cards (`accept/reject`) are clear and actionable.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"020 - WSU-020","20","20","Phase 2 - WS-018 Desktop","WS-018","WSU-020","D) Business Plan Usability","Editing section content is straightforward for common section types.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"021 - WSU-021","21","21","Phase 2 - WS-018 Desktop","WS-018","WSU-021","E) Canvas and Pitch Usability","Canvas template selection grid is understandable and clickable on first pass.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"022 - WSU-022","22","22","Phase 2 - WS-018 Desktop","WS-018","WSU-022","E) Canvas and Pitch Usability","Canvas edit page actions (`Ask AI`, `Download`, add/edit item) are discoverable.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"023 - WSU-023","23","23","Phase 2 - WS-018 Desktop","WS-018","WSU-023","E) Canvas and Pitch Usability","Pitch template grid + create flow is clear.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"024 - WSU-024","24","24","Phase 2 - WS-018 Desktop","WS-018","WSU-024","E) Canvas and Pitch Usability","Pitch editor action layout does not have button collisions/overlap.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"025 - WSU-025","25","25","Phase 2 - WS-018 Desktop","WS-018","WSU-025","E) Canvas and Pitch Usability","Slide edit / AI actions provide immediate feedback.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"026 - WSU-026","26","26","Phase 2 - WS-018 Desktop","WS-018","WSU-026","F) Export Usability","Export actions are easy to find in Business Plan, Pitch, and Canvas pages.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"027 - WSU-027","27","27","Phase 2 - WS-018 Desktop","WS-018","WSU-027","F) Export Usability","Export format choices are clearly labeled and consistent.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"028 - WSU-028","28","28","Phase 2 - WS-018 Desktop","WS-018","WSU-028","F) Export Usability","Loading/progress states prevent duplicate actions.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"029 - WSU-029","29","29","Phase 2 - WS-018 Desktop","WS-018","WSU-029","F) Export Usability","Success/failure toasts are specific and useful.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"030 - WSU-030","30","30","Phase 2 - WS-018 Desktop","WS-018","WSU-030","G) Responsiveness and Accessibility Basics","No P1 layout break on desktop common widths.","","Desktop","P1","Not Started","WS-MANAGE","4","","","","","",""
"031 - WSU-031","31","31","Phase 4 - Mobile","WS-018","WSU-031","G) Responsiveness and Accessibility Basics","No P1 layout break on mobile common widths.","","Mobile","P1","Not Started","WS-MANAGE","4","","","","","",""
"032 - WSU-032","32","32","Phase 2 - WS-018 Desktop","WS-018","WSU-032","G) Responsiveness and Accessibility Basics","Keyboard focus order is reasonable on core action paths.","","Both","P1","Not Started","WS-MANAGE","4","","","","","",""
"033 - WSU-033","33","33","Phase 2 - WS-018 Desktop","WS-018","WSU-033","G) Responsiveness and Accessibility Basics","Interactive controls have obvious enabled/disabled states.","","Both","P1","Not Started","WS-MANAGE","4","","","","","",""
"034 - C20-001","34","1","Phase 3 - CORE-020 Desktop","CORE-020","C20-001","A) Onboarding E2E (CORE-003..CORE-010)","New user reaches onboarding without redirect loop.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"035 - C20-002","35","2","Phase 3 - CORE-020 Desktop","CORE-020","C20-002","A) Onboarding E2E (CORE-003..CORE-010)","Steps 1-12 are navigable with clear next/back behavior.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"036 - C20-003","36","3","Phase 3 - CORE-020 Desktop","CORE-020","C20-003","A) Onboarding E2E (CORE-003..CORE-010)","Required field validation blocks progression with clear message.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"037 - C20-004","37","4","Phase 3 - CORE-020 Desktop","CORE-020","C20-004","A) Onboarding E2E (CORE-003..CORE-010)","`Other` options accept and persist custom text.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"038 - C20-005","38","5","Phase 3 - CORE-020 Desktop","CORE-020","C20-005","A) Onboarding E2E (CORE-003..CORE-010)","Sector + optional ATECO flows are usable and non-blocking.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"039 - C20-006","39","6","Phase 3 - CORE-020 Desktop","CORE-020","C20-006","A) Onboarding E2E (CORE-003..CORE-010)","Draft/resume keeps entered data after refresh/navigation.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"040 - C20-007","40","7","Phase 3 - CORE-020 Desktop","CORE-020","C20-007","A) Onboarding E2E (CORE-003..CORE-010)","On completion, data is persisted and used in workspace context.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"041 - C20-008","41","8","Phase 3 - CORE-020 Desktop","CORE-020","C20-008","A) Onboarding E2E (CORE-003..CORE-010)","EN/IT copy remains consistent and understandable through onboarding.","","Both","P1","Not Started","WS-FRESH","6","","","","","",""
"042 - C20-009","42","9","Phase 3 - CORE-020 Desktop","CORE-020","C20-009","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Seeded chapter/task structure loads correctly in manage page.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"043 - C20-010","43","10","Phase 3 - CORE-020 Desktop","CORE-020","C20-010","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Create/update/delete H1 and H2 tasks works and persists.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"044 - C20-011","44","11","Phase 3 - CORE-020 Desktop","CORE-020","C20-011","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Task hierarchy constraints are enforced (no invalid parent/level combos).","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"045 - C20-012","45","12","Phase 3 - CORE-020 Desktop","CORE-020","C20-012","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Task status updates (`todo`, `in_progress`, `done`) persist and render correctly.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"046 - C20-013","46","13","Phase 3 - CORE-020 Desktop","CORE-020","C20-013","B) Task System E2E (CORE-011..CORE-017 + WS-016)","`Ask AI to Draft` works for representative H1/H2 tasks.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"047 - C20-014","47","14","Phase 3 - CORE-020 Desktop","CORE-020","C20-014","B) Task System E2E (CORE-011..CORE-017 + WS-016)","AI chat can propose chapter/task changes with pending-change cards.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"048 - C20-015","48","15","Phase 3 - CORE-020 Desktop","CORE-020","C20-015","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Accept/reject pending changes updates model correctly with no silent no-op.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"049 - C20-016","49","16","Phase 3 - CORE-020 Desktop","CORE-020","C20-016","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Auto-context reuse includes workspace setup + AI library context in drafts.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"050 - C20-017","50","17","Phase 3 - CORE-020 Desktop","CORE-020","C20-017","B) Task System E2E (CORE-011..CORE-017 + WS-016)","Task editing/regeneration remains available after task marked `done`.","","Both","P1","Not Started","WS-MANAGE","6","","","","","",""
"051 - C20-018","51","18","Phase 3 - CORE-020 Desktop","CORE-020","C20-018","C) Pitch Preset Generation E2E (CORE-018, CORE-019, AF-007)","Creating new pitch from preset template generates required default slide set.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"052 - C20-019","52","19","Phase 3 - CORE-020 Desktop","CORE-020","C20-019","C) Pitch Preset Generation E2E (CORE-018, CORE-019, AF-007)","Preset includes expected storyline sections (problem, solution, market, model, traction, team, ask).","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"053 - C20-020","53","20","Phase 3 - CORE-020 Desktop","CORE-020","C20-020","C) Pitch Preset Generation E2E (CORE-018, CORE-019, AF-007)","Context reuse from BP/canvas reduces redundant prompting for already-known info.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"054 - C20-021","54","21","Phase 3 - CORE-020 Desktop","CORE-020","C20-021","C) Pitch Preset Generation E2E (CORE-018, CORE-019, AF-007)","Generated slide content is editable and persists after save/reload.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"055 - C20-022","55","22","Phase 3 - CORE-020 Desktop","CORE-020","C20-022","C) Pitch Preset Generation E2E (CORE-018, CORE-019, AF-007)","Draft/final status behavior for AI-generated pitch content is usable.","","Both","P1","Not Started","WS-MANAGE","5","","","","","",""
"056 - C20-023","56","23","Phase 3 - CORE-020 Desktop","CORE-020","C20-023","D) Critical Failure Handling","API failure during onboarding shows actionable error and user can retry.","","Both","P1","Not Started","WS-MANAGE","4","","","","","",""
"057 - C20-024","57","24","Phase 3 - CORE-020 Desktop","CORE-020","C20-024","D) Critical Failure Handling","API failure during task draft/proposal shows actionable error and no corrupt state.","","Both","P1","Not Started","WS-MANAGE","4","","","","","",""
"058 - C20-025","58","25","Phase 3 - CORE-020 Desktop","CORE-020","C20-025","D) Critical Failure Handling","API failure during pitch generation/edit save shows actionable error and recoverable flow.","","Both","P1","Not Started","WS-MANAGE","4","","","","","",""
"059 - C20-026","59","26","Phase 3 - CORE-020 Desktop","CORE-020","C20-026","E) Cross-Platform Validation","Desktop run completes all core flows with no P1 blocker.","","Desktop","P1","Not Started","WS-FRESH + WS-MANAGE","4","","","","","",""
"060 - C20-027","60","27","Phase 4 - Mobile","CORE-020","C20-027","E) Cross-Platform Validation","Mobile run completes all core flows with no P1 blocker.","","Mobile","P1","Not Started","WS-FRESH + WS-MANAGE","4","","","","","",""
"061 - C20-028","61","28","Phase 3 - CORE-020 Desktop","CORE-020","C20-028","E) Cross-Platform Validation","No blocking console/runtime errors in critical user path.","","Both","P1","Not Started","WS-FRESH + WS-MANAGE","4","","","","","",""
