ATECO_macro,Macro_nome,ATECO_2digit
A,Agricoltura,01
A,Agricoltura,02
A,Agricoltura,03
C,Manifattura,10
C,Manifattura,11
C,Manifattura,12
C,Manifattura,13
C,Manifattura,14
C,Manifattura,15
C,Manifattura,16
C,Manifattura,17
C,Manifattura,18
C,Manifattura,19
C,Manifattura,20
C,Manifattura,21
C,Manifattura,22
C,Manifattura,23
C,Manifattura,24
C,Manifattura,25
C,Manifattura,26
C,Manifattura,27
C,Manifattura,28
C,Manifattura,29
C,Manifattura,30
C,Manifattura,31
C,Manifattura,32
C,Manifattura,33
F,Costruzioni,41
F,Costruzioni,42
F,Costruzioni,43
G,Commercio,46
G,Commercio,47
H,Trasporti,49
H,Trasporti,50
H,Trasporti,51
H,Trasporti,52
H,Trasporti,53
I,Alloggio/Ristorazione,55
I,Alloggio/Ristorazione,56
K,ICT,61
K,ICT,62
K,ICT,63
M,Immobili,68
O,Supporto,77
O,Supporto,78
O,Supporto,79
O,Supporto,80
O,Supporto,81
O,Supporto,82
R,Sanità,86
R,Sanità,87
R,Sanità,88